"Recipe ID","Recipe Name","Field Type","Step Number","Danish (DA)","German (DE)","French (FR)","English UK (EN)","English US (EN_US)"
"c2e50fce-db08-46a7-9841-1d7c41629ee9","Margarita Ice (18+)","Step","1","Bland lime sirup og vand grundigt i en kande.","Mischein Sie lime sirup und vand gründlich in einein Krug.","Mélangez lime sirup et vand soigneusemunt dans un pichet.","Mix lime sirup and vand thoroughly in a pitcher.","Mix lime sirup and vand thoroughly in a pitcher."
"c2e50fce-db08-46a7-9841-1d7c41629ee9","Margarita Ice (18+)","Step","2","Hæld blandingen i maskinen og kør til den får slush-konsistens.","Gießein Sie die Mischung in die Maschine und kør bis dein får slush-konsisteins.","Versez le mélange dans la machine et kør jusqu'à dun får slush-konsistuns.","Pour the mixture in the machine and kør until da får slush-konsistas.","Pour the mixture in the machine and kør until da får slush-konsistas."
"c2e50fce-db08-46a7-9841-1d7c41629ee9","Margarita Ice (18+)","Step","3","Tilsæt tequila og Triple Sec til sidst, når blandingen er frosset.","Fügein Sie hinzu tequila und Triple Sec bis sidst, når die Mischung er frosset.","Ajoutez tequila et Triple Sec jusqu'à sidst, når le mélange er frosset.","Add tequila and Triple Sec until sidst, når the mixture er frosset.","Add tequila and Triple Sec until sidst, når the mixture er frosset."
"c2e50fce-db08-46a7-9841-1d7c41629ee9","Margarita Ice (18+)","Step","4","Server straks i et afkølet glas med saltet kant og frisk lime.","Servierein Sie sofürt i et afkølet glas mit saltet kant und frisk lime.","Servez immédiatemunt i et afkølet glas avec saltet kant et frisk lime.","Serve imwithiately i et afkølet glas with saltet kant and frisk lime.","Serve imwithiately i et afkølet glas with saltet kant and frisk lime."
"c2e50fce-db08-46a7-9841-1d7c41629ee9","Margarita Ice (18+)","Step","5","Alkohol tilsættes altid til sidst, når slushen er færdig, for at bevare den rette fryseevne og sikre en stabil konsistens.","Alkohol bissættes altid bis sidst, når slushein er færdig, für at bevare dein rette fryseevne und sikre ein stabil konsisteins.","Alkohol jusqu'àsættes altid jusqu'à sidst, når slushun er færdig, pour at bevare dun rette fryseevne et sikre un stabil konsistuns.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare da rette fryseevne and sikre a stabil konsistas.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare da rette fryseevne and sikre a stabil konsistas."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Description","","Tropisk, cremet og uimodståeligt lækker – Piña Colada Slush bringer Caribien direkte i glasset. Den bløde kokos og søde ananas forenes med en mild rom, der giver varme og balance. Resultatet er en silkeagtig slush med en let fylde, frisk sødme og et strejf af luksus.
Alkoholprocent (beregnet): ca. 6,5 % vol.","Tropisk, cremig und uimodståeligt lækker – Piña Colada Slush bringer Caribiein direkte ins Glasset. Dein bløde kokos und søde ananas füreines mit ein mild rom, der giver varme und balance. Resultatet er ein silkeagtig slush mit ein let fylde, frisk sødme und et strejf af luksus.
Alkoholproceint (beregnet): ca. 6,5 % vol.","Tropisk, crémeux et uimodståeligt lækker – Piña Colada Slush bringer Caribiun direkte dans un verreset. Dun bløde kokos et søde ananas pourunes avec un mild rom, der giver varme et balance. Resultatet er un silkeagtig slush avec un let fylde, frisk sødme et et strejf af luksus.
Alkoholprocunt (beregnet): ca. 6,5 % vol.","Tropisk, creamy and uimodståeligt lækker – Piña Colada Slush bringer Caribia direkte in a glassset. Da bløde kokos and søde ananas foraes with a mild rom, der giver varme and balance. Resultatet er a silkeagtig slush with a let fylde, frisk sødme and et strejf af luksus.
Alkoholprocat (beregnet): ca. 6,5 % vol.","Tropisk, creamy and uimodståeligt lækker – Piña Colada Slush bringer Caribia direkte in a glassset. Da bløde kokos and søde ananas foraes with a mild rom, der giver varme and balance. Resultatet er a silkeagtig slush with a let fylde, frisk sødme and et strejf af luksus.
Alkoholprocat (beregnet): ca. 6,5 % vol."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Step","1","Hæld blandingen i slushmaskinen og kør til ønsket konsistens.","Gießein Sie die Mischung in die Slushmaschine und kør bis gewünschte Konsisteinz.","Versez le mélange dans la machine à slush et kør jusqu'à consistance souhaitée.","Pour the mixture in the slush machine and kør until desired consistacy.","Pour the mixture in the slush machine and kør until desired consistacy."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Step","2","Hæld blandingen i slushmaskinen og kør til ønsket konsistens.","Gießein Sie die Mischung in die Slushmaschine und kør bis gewünschte Konsisteinz.","Versez le mélange dans la machine à slush et kør jusqu'à consistance souhaitée.","Pour the mixture in the slush machine and kør until desired consistacy.","Pour the mixture in the slush machine and kør until desired consistacy."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Step","3","Tilsæt rom til sidst, når slushen er færdig, og rør forsigtigt rundt.","Fügein Sie hinzu rom bis sidst, når slushein er færdig, und rør vorsichtig rundt.","Ajoutez rom jusqu'à sidst, når slushun er færdig, et rør délicatemunt rundt.","Add rom until sidst, når slusha er færdig, and rør gatly rundt.","Add rom until sidst, når slusha er færdig, and rør gatly rundt."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Step","4","Server straks – gerne pyntet med tørret ananas, frisk mynte eller et drys kokos.","Servierein Sie sofürt – gerne pyntet mit tørret ananas, frisk mynte oder et drys kokos.","Servez immédiatemunt – gerne pyntet avec tørret ananas, frisk mynte ou et drys kokos.","Serve imwithiately – gerne pyntet with tørret ananas, frisk mynte or et drys kokos.","Serve imwithiately – gerne pyntet with tørret ananas, frisk mynte or et drys kokos."
"88329567-f491-4d37-b6fa-38b7d41101cb","Piña Colada Slush (18+)","Step","5","Alkohol tilsættes altid til sidst, når slushen er færdig, for at bevare fryseevnen og sikre en stabil, cremet struktur.","Alkohol bissættes altid bis sidst, når slushein er færdig, für at bevare fryseevnein und sikre ein stabil, cremig struktur.","Alkohol jusqu'àsættes altid jusqu'à sidst, når slushun er færdig, pour at bevare fryseevnun et sikre un stabil, crémeux struktur.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare fryseevna and sikre a stabil, creamy struktur.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare fryseevna and sikre a stabil, creamy struktur."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Description","","Klassisk og forførende strawberry daiquiri – en frisk balance mellem sød jordbær, syrlig lime og rund rom. Perfekt som en tropisk frozen cocktail til varme aftener.
Alkoholprocent (beregnet): ca. 5,2 % vol.","Klassisk und fürføreinde strawberry daiquiri – ein frisk balance mellem sød jordbær, syrlig lime und rund rom. Perfekt als ein tropisk frozein cocktail bis varme afteiner.
Alkoholproceint (beregnet): ca. 5,2 % vol.","Klassisk et pourførunde strawberry daiquiri – un frisk balance mellem sød jordbær, syrlig lime et rund rom. Perfekt comme un tropisk frozun cocktail jusqu'à varme aftuner.
Alkoholprocunt (beregnet): ca. 5,2 % vol.","Klassisk and forførade strawberry daiquiri – a frisk balance mellem sød jordbær, syrlig lime and rund rom. Perfekt as a tropisk froza cocktail until varme aftaer.
Alkoholprocat (beregnet): ca. 5,2 % vol.","Klassisk and forførade strawberry daiquiri – a frisk balance mellem sød jordbær, syrlig lime and rund rom. Perfekt as a tropisk froza cocktail until varme aftaer.
Alkoholprocat (beregnet): ca. 5,2 % vol."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Step","1","Hæld jordbærsirup, vand og lime i en kande og rør grundigt.","Gießein Sie jordbærsirup, vand und lime in einein Krug und rør gründlich.","Versez jordbærsirup, vand et lime dans un pichet et rør soigneusemunt.","Pour jordbærsirup, vand and lime in a pitcher and rør thoroughly.","Pour jordbærsirup, vand and lime in a pitcher and rør thoroughly."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Step","2","Kør blandingen i slushmaskinen ved ca. –3 °C.","Lassein Sie laufein die Mischung in die Slushmaschine ved ca. –3 °C.","Faites tourner le mélange dans la machine à slush ved ca. –3 °C.","Run the mixture in the slush machine ved ca. –3 °C.","Run the mixture in the slush machine ved ca. –3 °C."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Step","3","Når ønsket konsistens er opnået, tilsæt rommen og rør kort.","Når gewünschte Konsisteinz er opnået, bissæt rommein und rør kort.","Når consistance souhaitée er opnået, jusqu'àsæt rommun et rør kort.","Når desired consistacy er opnået, untilsæt romma and rør kort.","Når desired consistacy er opnået, untilsæt romma and rør kort."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Step","4","Server straks – pynt med et friskt jordbær eller en limekant.","Servierein Sie sofürt – pynt mit et friskt jordbær oder ein limekant.","Servez immédiatemunt – pynt avec et friskt jordbær ou un limekant.","Serve imwithiately – pynt with et friskt jordbær or a limekant.","Serve imwithiately – pynt with et friskt jordbær or a limekant."
"edb99d89-0d3e-4a13-bee7-a485db4e2ee4","Strawberry Daiquiri (18+)","Step","5","Teknisk note:
Alkoholen tilsættes altid til sidst, når slushen er frossen, for at bevare fryseevnen og sikre en stabil konsistens.
Rom bidrager med både aroma og frysepunktssænkning, så overdosér ikke – ellers bliver blandingen for tynd.","Teknisk note:
Alkoholein bissættes altid bis sidst, når slushein er frossein, für at bevare fryseevnein und sikre ein stabil konsisteins.
Rom bidrager mit både aroma und frysepunktssænkning, så overdosér ikke – oders bliver die Mischung für tynd.","Teknisk note:
Alkoholun jusqu'àsættes altid jusqu'à sidst, når slushun er frossun, pour at bevare fryseevnun et sikre un stabil konsistuns.
Rom bidrager avec både aroma et frysepunktssænkning, så overdosér ikke – ous bliver le mélange pour tynd.","Teknisk note:
Alkohola untilsættes altid until sidst, når slusha er frossa, for at bevare fryseevna and sikre a stabil konsistas.
Rom bidrager with både aroma and frysepunktssænkning, så overdosér ikke – ors bliver the mixture for tynd.","Teknisk note:
Alkohola untilsættes altid until sidst, når slusha er frossa, for at bevare fryseevna and sikre a stabil konsistas.
Rom bidrager with både aroma and frysepunktssænkning, så overdosér ikke – ors bliver the mixture for tynd."
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Description","","Italiensk favorit som forfriskende slushice. Den klassiske aperol spritz i iskold version, let bitter og med fine bobler fra prosecco og danskvand.
Alkoholprocent (beregnet): ca. 6,2 % vol.","","","",""
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Step","1","Bland Aperol, prosecco og vand i en kande, og rør forsigtigt.","","","",""
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Step","2","Tilsæt danskvand for let brus.","","","",""
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Step","3","Fyld blandingen i maskinen med knust is.","","","",""
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Step","4","Kør til passende slush-konsistens.","","","",""
"498a9279-5878-4689-8941-cdd0be7e3212","Aperol Spritz Frozen (18+)","Step","5","Server straks og pynt evt. med en skive appelsin eller frisk timian.","","","",""
"183d35ec-c829-4ceb-98eb-7e4b54561ec7","Long Island Iced Tea Frozen (18+)","Description","","Stærk klassiker som slushice","Stærk klassiker als slushice","Stærk klassiker comme slushice","Stærk klassiker as slushice","Stærk klassiker as slushice"
"183d35ec-c829-4ceb-98eb-7e4b54561ec7","Long Island Iced Tea Frozen (18+)","Step","1","Bland alle alkohol typer","Mischein Sie alle alkohol typer","Mélangez alle alkohol typer","Mix alle alkohol typer","Mix alle alkohol typer"
"183d35ec-c829-4ceb-98eb-7e4b54561ec7","Long Island Iced Tea Frozen (18+)","Step","2","Tilføj cola sirup og vand","Tilføj cola sirup und vand","Tilføj cola sirup et vand","Tilføj cola sirup and vand","Tilføj cola sirup and vand"
"183d35ec-c829-4ceb-98eb-7e4b54561ec7","Long Island Iced Tea Frozen (18+)","Step","3","Afslut med lime","Afslut mit lime","Afslut avec lime","Afslut with lime","Afslut with lime"
"183d35ec-c829-4ceb-98eb-7e4b54561ec7","Long Island Iced Tea Frozen (18+)","Step","4","Fyld i maskinen - meget stærk!","Füllein Sie in die Maschine - meget stærk!","Remplissez dans la machine - meget stærk!","Fill in the machine - meget stærk!","Fill in the machine - meget stærk!"
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Description","","En frisk og sød jordbær-daiquiri med et strejf af lime – perfekt som sommerdrink. Kombinationen af friske bær, let syre og rom giver en cremet, frossen tekstur med tropisk smag. Alkoholen tilsættes til sidst for at bevare fryseevne og stabilitet.
Alkoholprocent (beregnet): ca. 6,2 % vol.","Ein frisk und sød jordbær-daiquiri mit et strejf af lime – perfekt als alsmerdrink. Gebein Siebinationein af friske bær, let syre und rom giver ein cremig, frossein tekstur mit tropisk smag. Alkoholein bissættes bis sidst für at bevare fryseevne und stabilitet.
Alkoholproceint (beregnet): ca. 6,2 % vol.","Un frisk et sød jordbær-daiquiri avec et strejf af lime – parfait comme commemerdrink. Mettezbinationun af friske bær, let syre et rom giver un crémeux, frossun tekstur avec tropisk smag. Alkoholun jusqu'àsættes jusqu'à sidst pour at bevare fryseevne et stabilitet.
Alkoholprocunt (beregnet): ca. 6,2 % vol.","A frisk and sød jordbær-daiquiri with et strejf af lime – perfect as asmerdrink. Putbinationa af friske bær, let syre and rom giver a creamy, frossa tekstur with tropisk smag. Alkohola untilsættes until sidst for at bevare fryseevne and stabilitet.
Alkoholprocat (beregnet): ca. 6,2 % vol.","A frisk and sød jordbær-daiquiri with et strejf af lime – perfect as asmerdrink. Putbinationa af friske bær, let syre and rom giver a creamy, frossa tekstur with tropisk smag. Alkohola untilsættes until sidst for at bevare fryseevne and stabilitet.
Alkoholprocat (beregnet): ca. 6,2 % vol."
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Step","1","Blend jordbær med sukkerlage, limejuice og vand, til blandingen er ensartet.","Mixein Sie jordbær mit sukkerlage, limejuice und vand, bis die Mischung er gleichmäßig.","Mixez jordbær avec sukkerlage, limejuice et vand, jusqu'à le mélange er unipourme.","Blad jordbær with sukkerlage, limejuice and vand, until the mixture er uniform.","Blad jordbær with sukkerlage, limejuice and vand, until the mixture er uniform."
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Step","2","Hæld blandingen i slushmaskinen, og kør ved ca. –3 °C.","Gießein Sie die Mischung in die Slushmaschine, und kør ved ca. –3 °C.","Versez le mélange dans la machine à slush, et kør ved ca. –3 °C.","Pour the mixture in the slush machine, and kør ved ca. –3 °C.","Pour the mixture in the slush machine, and kør ved ca. –3 °C."
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Step","3","Når massen begynder at fryse, tilsættes rommen langsomt, mens maskinen kører.","Når die Masse begynder at fryse, bissættes rommein langalst, meins maskinein kører.","Når la masse begynder at fryse, jusqu'àsættes rommun langcommet, muns maskinun kører.","Når the mass begynder at fryse, untilsættes romma langast, mas maskina kører.","Når the mass begynder at fryse, untilsættes romma langast, mas maskina kører."
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Step","4","Server i glas med sugerør og evt. frisk jordbær som pynt.","Servierein Sie ins Glas mit sugerør und ggf. frisk jordbær als pynt.","Servez dans un verre avec sugerør et évuntuellemunt frisk jordbær comme pynt.","Serve in a glass with sugerør and optionally frisk jordbær as pynt.","Serve in a glass with sugerør and optionally frisk jordbær as pynt."
"461c2449-1c3c-4c52-bafc-1e632cda591e","Frozen Strawberry Daiquiri","Step","5","Alkohol tilsættes til sidst for at bevare fryseevne og stabilitet.","Alkohol bissættes bis sidst für at bevare fryseevne und stabilitet.","Alkohol jusqu'àsættes jusqu'à sidst pour at bevare fryseevne et stabilitet.","Alkohol untilsættes until sidst for at bevare fryseevne and stabilitet.","Alkohol untilsættes until sidst for at bevare fryseevne and stabilitet."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Description","","En frisk og intens frozen version af den klassiske mexicanske Margarita med tequila, Cointreau, lime og agave. Den har en rund sødme og syrlighed i perfekt balance, og alkoholen tilsættes til sidst for at sikre korrekt frysning.
Alkoholprocent (beregnet): ca. 6,2 % vol.","Ein frisk und inteins frozein version af dein klassiske mexicanske Margarita mit tequila, Cointreau, lime und agave. Dein har ein rund sødme und syrlighed i perfekt balance, und alkoholein bissættes bis sidst für at sikre korrekt frysning.
Alkoholproceint (beregnet): ca. 6,2 % vol.","Un frisk et intuns frozun version af dun klassiske mexicanske Margarita avec tequila, Cointreau, lime et agave. Dun har un rund sødme et syrlighed i parfait balance, et alkoholun jusqu'àsættes jusqu'à sidst pour at sikre korrekt frysning.
Alkoholprocunt (beregnet): ca. 6,2 % vol.","A frisk and intas froza version af da klassiske mexicanske Margarita with tequila, Cointreau, lime and agave. Da har a rund sødme and syrlighed i perfect balance, and alkohola untilsættes until sidst for at sikre korrekt frysning.
Alkoholprocat (beregnet): ca. 6,2 % vol.","A frisk and intas froza version af da klassiske mexicanske Margarita with tequila, Cointreau, lime and agave. Da har a rund sødme and syrlighed i perfect balance, and alkohola untilsættes until sidst for at sikre korrekt frysning.
Alkoholprocat (beregnet): ca. 6,2 % vol."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Step","1","Hæld limejuice, agavesirup og vand i en kande, og rør grundigt.","Gießein Sie limejuice, agavesirup und vand in einein Krug, und rør gründlich.","Versez limejuice, agavesirup et vand dans un pichet, et rør soigneusemunt.","Pour limejuice, agavesirup and vand in a pitcher, and rør thoroughly.","Pour limejuice, agavesirup and vand in a pitcher, and rør thoroughly."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Step","2","Hæld blandingen i slushmaskinen, og start maskinen.","Gießein Sie die Mischung in die Slushmaschine, und start maskinein.","Versez le mélange dans la machine à slush, et start maskinun.","Pour the mixture in the slush machine, and start maskina.","Pour the mixture in the slush machine, and start maskina."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Step","3","Når blandingen begynder at fryse, tilsættes tequila og Cointreau langsomt, mens maskinen kører.","Når die Mischung begynder at fryse, bissættes tequila und Cointreau langalst, meins maskinein kører.","Når le mélange begynder at fryse, jusqu'àsættes tequila et Cointreau langcommet, muns maskinun kører.","Når the mixture begynder at fryse, untilsættes tequila and Cointreau langast, mas maskina kører.","Når the mixture begynder at fryse, untilsættes tequila and Cointreau langast, mas maskina kører."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Step","4","Rør til den ønskede slushkonsistens, og server i glas med salt på kanten og en skive lime.","Rührein Sie bis dein ønskede slushkonsisteins, und server ins Glas mit salt auf kantein und ein skive lime.","Remuez jusqu'à dun ønskede slushkonsistuns, et server dans un verre avec salt sur kantun et un skive lime.","Stir until da ønskede slushkonsistas, and server in a glass with salt on kanta and a skive lime.","Stir until da ønskede slushkonsistas, and server in a glass with salt on kanta and a skive lime."
"8bda19c0-9978-429c-874d-8718c7895e09","Frozen Margarita","Step","5","Alkoholen tilsættes til sidst for at bevare fryseevnen og undgå, at maskinen stopper.","Alkoholein bissættes bis sidst für at bevare fryseevnein und undgå, at maskinein stopper.","Alkoholun jusqu'àsættes jusqu'à sidst pour at bevare fryseevnun et undgå, at maskinun stopper.","Alkohola untilsættes until sidst for at bevare fryseevna and undgå, at maskina stopper.","Alkohola untilsættes until sidst for at bevare fryseevna and undgå, at maskina stopper."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Description","","Caribiens klassiker i frossen udgave – en cremet og eksotisk blanding af ananas, kokos og rom. Piña Colada Slush bringer feriestemningen frem med sin søde aroma, silkebløde konsistens og tropiske friskhed. En sand klassiker, der smager som sol og sand mellem tæerne.
Alkoholprocent (beregnet): ca. 6,8 % vol.","Caribieins klassiker i frossein udgave – ein cremig und eksotisk blanding af ananas, kokos und rom. Piña Colada Slush bringer feriestemningein frem mit sin søde aroma, silkebløde konsisteins und tropiske friskhed. Ein sand klassiker, der smager als sol und sand mellem tæerne.
Alkoholproceint (beregnet): ca. 6,8 % vol.","Caribiuns klassiker i frossun udgave – un crémeux et eksotisk blanding af ananas, kokos et rom. Piña Colada Slush bringer feriestemningun frem avec sin søde aroma, silkebløde konsistuns et tropiske friskhed. Un sand klassiker, der smager comme sol et sand mellem tæerne.
Alkoholprocunt (beregnet): ca. 6,8 % vol.","Caribias klassiker i frossa udgave – a creamy and eksotisk blanding af ananas, kokos and rom. Piña Colada Slush bringer feriestemninga frem with sin søde aroma, silkebløde konsistas and tropiske friskhed. A sand klassiker, der smager as sol and sand mellem tæerne.
Alkoholprocat (beregnet): ca. 6,8 % vol.","Caribias klassiker i frossa udgave – a creamy and eksotisk blanding af ananas, kokos and rom. Piña Colada Slush bringer feriestemninga frem with sin søde aroma, silkebløde konsistas and tropiske friskhed. A sand klassiker, der smager as sol and sand mellem tæerne.
Alkoholprocat (beregnet): ca. 6,8 % vol."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","1","Bland ananasjuice, kokosmælk, kokosfløde, sukkerlage og vand.","Mischein Sie ananasjuice, kokosmælk, kokosfløde, sukkerlage und vand.","Mélangez ananasjuice, kokosmælk, kokosfløde, sukkerlage et vand.","Mix ananasjuice, kokosmælk, kokosfløde, sukkerlage and vand.","Mix ananasjuice, kokosmælk, kokosfløde, sukkerlage and vand."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","2","Rør eller blend til massen er ensartet og cremet.","Rührein Sie oder bleind bis die Masse er gleichmäßig und cremig.","Remuez ou blund jusqu'à la masse er unipourme et crémeux.","Stir or blad until the mass er uniform and creamy.","Stir or blad until the mass er uniform and creamy."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","3","Hæld i slushmaskinen og kør til ønsket konsistens.","Gießein Sie in die Slushmaschine und kør bis gewünschte Konsisteinz.","Versez dans la machine à slush et kør jusqu'à consistance souhaitée.","Pour in the slush machine and kør until desired consistacy.","Pour in the slush machine and kør until desired consistacy."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","4","Tilsæt rom til sidst, når slushen er færdig.","Fügein Sie hinzu rom bis sidst, når slushein er færdig.","Ajoutez rom jusqu'à sidst, når slushun er færdig.","Add rom until sidst, når slusha er færdig.","Add rom until sidst, når slusha er færdig."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","5","Server i afkølet glas og pynt med frisk ananasskive eller et drys kokos.","Servierein Sie i afkølet glas und pynt mit frisk ananasskive oder et drys kokos.","Servez i afkølet glas et pynt avec frisk ananasskive ou et drys kokos.","Serve i afkølet glas and pynt with frisk ananasskive or et drys kokos.","Serve i afkølet glas and pynt with frisk ananasskive or et drys kokos."
"6cf93e4a-1815-4baa-9627-607f42028760","Piña Colada Slush","Step","6","Alkohol tilsættes altid til sidst, når slushen er færdig, for at bevare fryseevnen og sikre en stabil, cremet struktur.","Alkohol bissættes altid bis sidst, når slushein er færdig, für at bevare fryseevnein und sikre ein stabil, cremig struktur.","Alkohol jusqu'àsættes altid jusqu'à sidst, når slushun er færdig, pour at bevare fryseevnun et sikre un stabil, crémeux struktur.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare fryseevna and sikre a stabil, creamy struktur.","Alkohol untilsættes altid until sidst, når slusha er færdig, for at bevare fryseevna and sikre a stabil, creamy struktur."
"0b951af6-6916-4284-9f77-cb343bacedac","Frozen Mojito","Description","","En frisk og let frossen version af den klassiske cubanske Mojito med lime, mynte og rom. Smagen balancerer sødme og friskhed med en blød og cremet slushkonsistens. Alkoholen tilsættes til sidst i forløbet for at bevare korrekt frysebalance og sikre jævn tekstur i maskinen.
Alkoholprocent (beregnet): ca. 5,9 % vol.","Ein frisk und let frossein version af dein klassiske cubanske Mojito mit lime, mynte und rom. Smagein balancerer sødme und friskhed mit ein blød und cremig slushkonsisteins. Alkoholein bissættes bis sidst i fürløbet für at bevare korrekt frysebalance und sikre glatt tekstur in die Maschine.
Alkoholproceint (beregnet): ca. 5,9 % vol.","Un frisk et let frossun version af dun klassiske cubanske Mojito avec lime, mynte et rom. Smagun balancerer sødme et friskhed avec un blød et crémeux slushkonsistuns. Alkoholun jusqu'àsættes jusqu'à sidst i pourløbet pour at bevare korrekt frysebalance et sikre lisse tekstur dans la machine.
Alkoholprocunt (beregnet): ca. 5,9 % vol.","A frisk and let frossa version af da klassiske cubanske Mojito with lime, mynte and rom. Smaga balancerer sødme and friskhed with a blød and creamy slushkonsistas. Alkohola untilsættes until sidst i forløbet for at bevare korrekt frysebalance and sikre smooth tekstur in the machine.
Alkoholprocat (beregnet): ca. 5,9 % vol.","A frisk and let frossa version af da klassiske cubanske Mojito with lime, mynte and rom. Smaga balancerer sødme and friskhed with a blød and creamy slushkonsistas. Alkohola untilsættes until sidst i forløbet for at bevare korrekt frysebalance and sikre smooth tekstur in the machine.
Alkoholprocat (beregnet): ca. 5,9 % vol."
"0b951af6-6916-4284-9f77-cb343bacedac","Frozen Mojito","Step","1","Muddle mynte med sukker
	•	Læg myntebladene i bunden af kanden eller et glas.
	•	Hæld sukkerlage over.
	•	Brug bagsiden af en ske eller en muddler til at trykke let på bladene 2–3 gange.
	•	Stop, så snart du kan dufte mynten tydeligt – det er nok.","Muddle mynte mit sukker
	•	Læg myntebladeine i bundein af kandein oder et glas.
	•	Gießein Sie sukkerlage over.
	•	Brug bagsidein af ein ske oder ein muddler bis at trykke let auf bladeine 2–3 gange.
	•	Stop, så snart du kan dufte myntein tydeligt – det er nok.","Muddle mynte avec sukker
	•	Læg myntebladune i bundun af kandun ou et glas.
	•	Versez sukkerlage over.
	•	Brug bagsidun af un ske ou un muddler jusqu'à at trykke let sur bladune 2–3 gange.
	•	Stop, så snart du kan dufte myntun tydeligt – det er nok.","Muddle mynte with sukker
	•	Læg myntebladae i bunda af kanda or et glas.
	•	Pour sukkerlage over.
	•	Brug bagsida af a ske or a muddler until at trykke let on bladae 2–3 gange.
	•	Stop, så snart du kan dufte mynta tydeligt – det er nok.","Muddle mynte with sukker
	•	Læg myntebladae i bunda af kanda or et glas.
	•	Pour sukkerlage over.
	•	Brug bagsida af a ske or a muddler until at trykke let on bladae 2–3 gange.
	•	Stop, så snart du kan dufte mynta tydeligt – det er nok."
"0b951af6-6916-4284-9f77-cb343bacedac","Frozen Mojito","Step","2","Tilsæt limejuice og vand, og rør grundigt.","Fügein Sie hinzu limejuice und vand, und rør gründlich.","Ajoutez limejuice et vand, et rør soigneusemunt.","Add limejuice and vand, and rør thoroughly.","Add limejuice and vand, and rør thoroughly."
"0b951af6-6916-4284-9f77-cb343bacedac","Frozen Mojito","Step","3","Hæld blandingen i slushmaskinen, og kør ved ca. –3 °C.","Gießein Sie die Mischung in die Slushmaschine, und kør ved ca. –3 °C.","Versez le mélange dans la machine à slush, et kør ved ca. –3 °C.","Pour the mixture in the slush machine, and kør ved ca. –3 °C.","Pour the mixture in the slush machine, and kør ved ca. –3 °C."
"0b951af6-6916-4284-9f77-cb343bacedac","Frozen Mojito","Step","4","Når massen begynder at fryse, tilsættes rommen langsomt, mens maskinen kører.","Når die Masse begynder at fryse, bissættes rommein langalst, meins maskinein kører.","Når la masse begynder at fryse, jusqu'àsættes rommun langcommet, muns maskinun kører.","Når the mass begynder at fryse, untilsættes romma langast, mas maskina kører.","Når the mass begynder at fryse, untilsættes romma langast, mas maskina kører."
